quarter,area_code,industry_code,selection_rank,area_name,area_type,district,administrative_dong,centroid_distance_m,overlap_with_leeum_est_m2,industry_name,sales_amount,transactions,observed,quarter_label
20252,3110095,CS300011,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,일반의류,3211493240.0,34988.0,True,2025Q2
20252,3110095,CS300022,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,화장품,,,False,2025Q2
20252,3120046,CS300011,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,일반의류,10494770639.0,86462.0,True,2025Q2
20252,3120046,CS300022,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,화장품,849943517.0,12772.0,True,2025Q2
20252,3110093,CS300011,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,일반의류,1509372466.0,11995.0,True,2025Q2
20252,3110093,CS300022,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,화장품,,,False,2025Q2
20253,3110091,CS300011,0,리움미술관,target,용산구,한남동,0.0,0.0,일반의류,227757067.0,2017.0,True,2025Q3
20253,3110091,CS300022,0,리움미술관,target,용산구,한남동,0.0,0.0,화장품,517343024.0,147.0,True,2025Q3
20253,3110095,CS300011,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,일반의류,3435951259.0,41889.0,True,2025Q3
20253,3110095,CS300022,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,화장품,,,False,2025Q3
20253,3120046,CS300011,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,일반의류,7917754508.0,69951.0,True,2025Q3
20253,3120046,CS300022,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,화장품,822798571.0,12205.0,True,2025Q3
20253,3110093,CS300011,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,일반의류,1857261525.0,18716.0,True,2025Q3
20253,3110093,CS300022,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,화장품,,,False,2025Q3
20254,3110091,CS300011,0,리움미술관,target,용산구,한남동,0.0,0.0,일반의류,211955180.0,1584.0,True,2025Q4
20254,3110091,CS300022,0,리움미술관,target,용산구,한남동,0.0,0.0,화장품,51743614.0,65.0,True,2025Q4
20254,3110095,CS300011,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,일반의류,3792958733.0,32360.0,True,2025Q4
20254,3110095,CS300022,1,한강진역 3번,골목상권,용산구,한남동,346.5544690232691,0.0,화장품,,,False,2025Q4
20254,3120046,CS300011,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,일반의류,14290612348.0,73110.0,True,2025Q4
20254,3120046,CS300022,2,이태원(이태원역),발달상권,용산구,이태원1동,386.4324002979046,0.0,화장품,616577187.0,11687.0,True,2025Q4
20254,3110093,CS300011,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,일반의류,2041184821.0,12596.0,True,2025Q4
20254,3110093,CS300022,3,우사단길,골목상권,용산구,한남동,536.9580989239291,0.0,화장품,,,False,2025Q4
