area_code,quarter,quarter_label,outcome_residual,food_sales_yoy_log_change_lag1_residual,floating_population_yoy_log_change_residual
3110161,20222,2022Q2,-0.7050831731493163,0.21452540929377972,-0.25523086550667823
3110161,20223,2022Q3,1.4669258653122492,0.10836599667905154,0.022188428536739448
3110161,20224,2022Q4,0.16154971875993673,-0.05902583328440932,-0.04812513847397896
3110161,20231,2023Q1,-0.8072516549226668,-0.13364868260306778,-0.19015984171107103
3110161,20232,2023Q2,-2.8918907589379543,-0.2551184009208394,-0.21856808750758674
3110161,20233,2023Q3,-0.9999331865015405,-0.41362155540821394,-0.22490844896610074
3110161,20234,2023Q4,-3.51262890653188,-0.04929554785267004,0.04729491969639831
3110161,20241,2024Q1,0.6104956114030486,0.03467247826345655,0.15304021128929568
3110161,20242,2024Q2,1.946428598104786,0.011560731297507735,0.04195056005609392
3110161,20243,2024Q3,0.5933256685199166,0.3013552458372178,0.060769569027976984
3110161,20244,2024Q4,2.925621886823885,0.023151331920329518,0.011965626549117
3110161,20251,2025Q1,2.4177434944894483,0.009976516246382273,0.06215744493906111
3110161,20252,2025Q2,0.19237121673072063,0.03207083298780769,0.21371624785624574
3110161,20253,2025Q3,-1.0261159775214785,0.0719822870558099,0.1381516333073284
3110161,20254,2025Q4,-0.3715584025791289,0.10304919048791279,0.1857577409071632
3110162,20253,2025Q3,0.41457243270506333,0.0028148330567041276,0.022227882187685746
3110162,20254,2025Q4,-0.41457243270446154,-0.002814833055441418,-0.02222788218759167
3110163,20222,2022Q2,0.11511896654918256,0.0594940958095786,0.22727882299761573
3110163,20223,2022Q3,-0.398985426845014,-0.1228781352671594,-0.06106194339624763
3110163,20224,2022Q4,0.3719960754825514,-0.09414672454023172,-0.16830749639411527
3110163,20233,2023Q3,-0.08812961518763525,0.1575307639959001,0.002090616792604723
3110165,20222,2022Q2,0.0018904377896460493,-0.17430200863453016,-0.32887576199789464
3110165,20223,2022Q3,0.14312725695387005,-0.13243097971580808,-0.07227961485777329
3110165,20224,2022Q4,0.5630051400898254,-0.20682180683894288,-0.007859647288811486
3110165,20231,2023Q1,0.8057085983321334,-0.17539274692530976,-0.01262134407478775
3110165,20232,2023Q2,-0.5973704397395642,0.020932997251235944,0.039999906927270956
3110165,20233,2023Q3,0.39885943724144934,-0.03093012512246198,0.11173357451412808
3110165,20234,2023Q4,-0.11119706587262038,-0.08109669616902075,0.10190531218790845
3110165,20241,2024Q1,-0.32394819685150816,0.23529382949806815,0.10749501001107419
3110165,20242,2024Q2,0.22125474413899834,0.0615498653151798,0.08576294902539949
3110165,20243,2024Q3,-0.875001765063963,0.3286977316177326,-0.016564392383549835
3110165,20244,2024Q4,-1.079866789194185,0.3926535608814846,-0.055562766973797736
3110165,20251,2025Q1,0.6787612281302304,0.08379948236769406,-0.05847300468486935
3110165,20252,2025Q2,0.12208111671092256,0.023531735273260072,-0.06166341476583198
3110165,20253,2025Q3,-0.45459531847407764,-0.14434804562084944,0.038966979104928835
3110165,20254,2025Q4,0.5072916158088696,-0.20113679317767721,0.12803621525661016
3110166,20222,2022Q2,-0.6963778963453644,-0.10611894042540376,0.10271455392008878
3110166,20223,2022Q3,-0.9043160523675363,-0.03253538416482232,0.056406040231781335
3110166,20224,2022Q4,0.03536415431659546,0.1605676209552716,0.006753422366536674
3110166,20231,2023Q1,-2.1423921721582038,0.2128263364674732,-0.016201164795881164
3110166,20232,2023Q2,0.2649901061481196,0.22968864867284716,0.02734963731743753
3110166,20233,2023Q3,0.555311048276835,0.11328784323649305,-0.08823616057926373
3110166,20234,2023Q4,0.33464738634463986,-0.04496198211706814,-0.08324613821313274
3110166,20241,2024Q1,0.36338985074391966,-0.16668254277329636,-0.03684462698937115
3110166,20242,2024Q2,0.4102893687388008,-0.12962668279941084,-0.14138228755871374
3110166,20243,2024Q3,0.21782638920828473,-0.22475044273259737,0.06409583439246061
3110166,20244,2024Q4,0.1125709049442857,-0.22776961426846856,0.0524284682717218
3110166,20251,2025Q1,0.2774815403903399,-0.0611538127402156,-0.0005023464227359707
3110166,20252,2025Q2,0.22857865138143232,-0.019262929165299824,0.04204540065826288
3110166,20253,2025Q3,0.41396228192742796,0.1812367711480552,0.018881351623314137
3110166,20254,2025Q4,0.5286744384504495,0.11525511070649773,-0.0042619842225010965
3110167,20222,2022Q2,0.17353606907555247,0.03696665841702252,0.13476222070292743
3110167,20223,2022Q3,-0.187502607724787,0.11615892647047289,-0.040132842527783937
3110167,20224,2022Q4,0.06629684355260962,0.01805519899633524,-0.03738011057972396
3110167,20231,2023Q1,-0.43039561500467277,0.06624080879648087,-0.05977407197832745
3110167,20232,2023Q2,-0.16248727590014844,-0.05012448680087605,0.00371641893224204
3110167,20233,2023Q3,0.09264501600686918,-0.015210459710361373,-0.00969359991660199
3110167,20234,2023Q4,0.00470775708596042,0.07135043848388421,-0.03784865679191032
3110167,20241,2024Q1,0.5389424242996672,0.034512223913977826,-0.016365376490069146
3110167,20242,2024Q2,0.5261415138794615,0.0694096931442832,-0.08769883204469145
3110167,20243,2024Q3,0.6389964227355573,0.05300148876367998,-0.06040128194917843
3110167,20244,2024Q4,0.08528104008845144,0.07561130904218506,-0.0456602673567812
