area_code,food_overall_rank,food_CoreDeclineScore,area_name,all_industry_rank,all_industry_CoreDeclineScore
3110173,,,구남초등학교,381,0.27982382300430453
3110174,115.0,0.7131074743327449,아차산역 1번,207,0.6337259801440702
3110175,724.0,-0.6469781724562484,푸른동산공원,1068,-1.6015301238082853
3110176,594.0,-0.3257009372290451,해오름공원,847,-0.4742888136453986
3110178,,,장로회신학대학교,152,0.7850493229560032
3110179,631.0,-0.4064938294223044,광나루역 1번,899,-0.588493563547672
3110180,4.0,2.249943659594627,광진정보도서관,231,0.5833143754892487
3110181,,,신설동역 9번,347,0.33893790948447966
3110186,,,종암초등학교,1058,-1.4142678266521325
3110187,106.0,0.7971467283650915,제기동역 6번,443,0.20045927362560456
3110188,20.0,1.6794127436872517,용두동신동아아파트,861,-0.5000771905647805
3110190,,,고대앞사거리,250,0.5383437757643956
3110191,136.0,0.6397584249658171,고려대역 6번,144,0.8092198268932437
3110192,579.0,-0.2973428183447286,동의보감타워,746,-0.27870525482420905
3110194,,,홍파초등학교,5,3.0835858598900536
3110195,617.0,-0.37178878819894,동대문구청,744,-0.2705874123945885
3110199,489.0,-0.1236889702830094,홍릉시장,629,-0.09309469895952747
3110203,,,떡전교사거리,600,-0.0502930212900713
3110204,29.0,1.5728635562983475,간데메공원,368,0.2967305726223068
3110205,385.0,0.0577042473414249,경희대삼거리,379,0.28322713967258956
3110207,88.0,0.9262453983035684,시립대앞사거리,128,0.8939305953210115
3110210,624.0,-0.3797615306828711,,,
3110211,152.0,0.5946922951769583,전곡마을마당공원,490,0.1118560155481625
3110212,548.0,-0.2334918853870201,답십리초등학교,747,-0.2792006427876264
3110214,832.0,-1.2451079840937744,,,
3110216,288.0,0.2516755189705334,전농중학교,501,0.09407318976565757
3110218,315.0,0.2067485216123444,답십리사거리,631,-0.09606409730579324
3110219,81.0,0.9916799355452036,삼육보건대학교,489,0.11578378835905725
3110220,790.0,-0.9165738652779206,외대앞역 1번,534,0.056836081541384836
3110221,,,의릉,359,0.3130298204633079
3110224,,,외대앞역 2번,1000,-0.9104944648402767
3110225,,,촬영소사거리,804,-0.3827004160780468
3110226,273.0,0.2922016568537335,장안1동주민센터,596,-0.04760434614815262
3110227,,,답십리공원,33,1.8094456145299058
3110228,150.0,0.5961290977293576,장안근린공원,783,-0.34739295873532694
3110229,196.0,0.4784989591680211,장평중학교,668,-0.15053089529572133
3110230,49.0,1.254315806416323,장안현대홈타운1차아파트,371,0.29413121988153934
3110232,401.0,0.0386980306058308,동대부고,953,-0.709732976478437
3110233,,,중랑역 1번,297,0.4193814843412734
3110236,785.0,-0.8795321311988182,신묵초등학교,362,0.30506177694005254
3110237,447.0,-0.0483968068648996,메가박스 상봉,920,-0.6232545940714148
3110240,673.0,-0.5285518542797819,태릉시장 특화거리,810,-0.3993192242824852
3110241,576.0,-0.2949513343979499,먹골역 5번,483,0.12856787661794586
3110243,294.0,0.2401712778912208,중랑노인종합복지관,491,0.1113736284616023
3110244,267.0,0.2975977336341277,중화역 4번,226,0.5900346709734408
3110245,,,KB국민은행 중화동지점,552,0.025480428256465765
3110246,71.0,1.0707916408025953,월드순복음교회,8,2.804383755982185
