quarter,area_code,sales_amount,transactions,floating_population,segment,dimension,average_ticket,year
20253,3120005,5864881022,255760,139626,남성,sex,22931.189482327183,2025
20254,3110091,359951362,9581,106896,남성,sex,37569.28942699092,2025
20254,3120005,6361858767,242276,153570,남성,sex,26258.724623982565,2025
20221,3110091,1052471690,41343,103887,여성,sex,25457.07108821324,2022
20221,3120005,7023521546,294777,135624,여성,sex,23826.55887671019,2022
20222,3110091,1439927943,61765,114512,여성,sex,23313.00806281875,2022
20222,3120005,12503196210,530160,164691,여성,sex,23583.816602535084,2022
20223,3110091,1175402003,45156,106845,여성,sex,26029.807843918858,2022
20223,3120005,10202273754,455406,148015,여성,sex,22402.58967602535,2022
20224,3110091,896931613,33853,107168,여성,sex,26494.893008005198,2022
20224,3120005,13445875253,462449,156637,여성,sex,29075.368857971367,2022
20231,3110091,1057033844,38852,110126,여성,sex,27206.677751467105,2023
20231,3120005,11278206639,374021,154385,여성,sex,30153.939588953563,2023
20232,3110091,1114604385,43048,109429,여성,sex,25892.12936721799,2023
20232,3120005,12728276733,480821,165939,여성,sex,26471.965103437662,2023
20233,3110091,1061524505,40704,118660,여성,sex,26079.1201110456,2023
20233,3120005,9873714645,400104,153358,여성,sex,24677.87036620479,2023
20234,3110091,1076939629,34757,124287,여성,sex,30984.826912564375,2023
20234,3120005,9233852278,380430,159174,여성,sex,24272.145409142286,2023
20241,3110091,1131266484,35281,118269,여성,sex,32064.46767381877,2024
20241,3120005,7623080274,326670,150115,여성,sex,23335.721902837726,2024
20242,3110091,1048311213,37347,125052,여성,sex,28069.489195919352,2024
20242,3120005,11806822035,486224,173339,여성,sex,24282.680482658197,2024
20243,3110091,956838217,31493,127551,여성,sex,30382.56809449719,2024
20243,3120005,8098868018,377610,155917,여성,sex,21447.705352082838,2024
20244,3110091,1011692231,30224,133127,여성,sex,33473.14157623081,2024
20244,3120005,10655435770,393672,167825,여성,sex,27066.785979190798,2024
20251,3110091,870504430,26459,133824,여성,sex,32900.125855096565,2025
20251,3120005,7480377485,269637,154009,여성,sex,27742.39991173318,2025
20252,3110091,935152968,26358,126412,여성,sex,35478.90462098794,2025
20252,3120005,11879012150,446331,178321,여성,sex,26614.8041475945,2025
20253,3110091,987577858,21513,136374,여성,sex,45906.09668572491,2025
20253,3120005,8276858740,319962,157498,여성,sex,25868.255417830867,2025
20254,3110091,655486046,18511,127398,여성,sex,35410.62319701799,2025
20254,3120005,8952523155,307397,171561,여성,sex,29123.65167844839,2025
20221,3110091,5577016,244,15606,10대,age,22856.622950819674,2022
20221,3120005,63524066,5342,30153,10대,age,11891.438786971172,2022
20222,3110091,6948399,311,14586,10대,age,22342.118971061092,2022
20222,3120005,186345351,13469,40463,10대,age,13835.128888558913,2022
20223,3110091,9024476,502,13940,10대,age,17977.043824701195,2022
20223,3120005,108975419,8953,38987,10대,age,12171.944487881157,2022
